Category1,Category2,Block,Trial,mean1,mean2,mean_diff,se_diff,t_value,df,p_value,p_fdr,Significance,Direction
AF0,AF1,1,0,1.4364080823902232,1.4715290495604783,-0.035120967170255035,0.05604730497047974,-0.6266307931978771,253,0.5314902570918691,0.6335645448777248,,
AF0,AF1,1,1,1.4189947367140874,1.5557202837574977,-0.13672554704341033,0.06827298236672497,-2.0026303568957307,248,0.046385846119705865,0.1391555953857968,,
AF0,AF1,1,2,1.4166016902152596,1.45901256019149,-0.04241086997623045,0.06708562979193285,-0.6321900846391163,254,0.5278584008428712,0.6334300810114454,,
AF0,AF1,1,3,1.2684223880186034,1.2949582780794404,-0.02653589006083701,0.06478137738102352,-0.4096221959709396,254,0.6824529230646736,0.7711483545805687,,
AF0,AF1,1,4,1.0911130521088903,1.1829691239088957,-0.09185607180000543,0.05895439535076611,-1.5580869119847867,253,0.12069010870924037,0.24528791376053524,,
AF0,AF1,1,5,1.065844133576821,1.1005131710595706,-0.03466903748274963,0.06444514882899205,-0.5379619430276342,255,0.5910901469939653,0.6908845873955439,,
AF0,AF1,1,6,1.080280102097092,1.1043757254526714,-0.024095623355579354,0.05737179651697618,-0.419990741416813,255,0.6748825062225956,0.7688534881016912,,
AF0,AF1,1,7,1.0118706454474395,1.128742228086638,-0.11687158263919839,0.052780195476449535,-2.2143074989433558,255,0.027787895005786177,0.11115158002314471,,
AF0,AF1,1,8,1.0228119874069335,1.099470107021724,-0.07665811961479063,0.051536389485913214,-1.4874561524288408,255,0.13831719264778272,0.2541593502776487,,
AF0,AF1,1,9,1.0789196636346325,1.030160652629264,0.04875901100536861,0.05241523111201138,0.9302450827922629,255,0.35313363686755317,0.48522179111572195,,
AF0,AF1,1,10,0.9632898937278143,0.995314114920539,-0.032024221192724744,0.04291415758858058,-0.746239073355278,255,0.4562412459031381,0.5663684431901024,,
AF0,AF1,1,11,1.0003163957866192,1.0142520309662488,-0.01393563517962959,0.053285792024183896,-0.2615262840290497,254,0.7939114974971114,0.850619461604048,,
AF0,AF1,1,12,1.0128113161016687,1.0300116254393687,-0.017200309337700004,0.05705934755059141,-0.3014459519090965,255,0.7633299868368473,0.8227508840157635,,
AF0,AF1,1,13,0.9291633307461923,0.9970675271917707,-0.06790419644557844,0.037049008491087075,-1.8328208826941814,255,0.06820106621132609,0.1636825589071826,,
AF0,AF1,2,0,1.5480811370633496,1.481630139791921,0.06645099727142867,0.06810573069632464,0.9757034627192498,254,0.330145158412959,0.4677260307807956,,
AF0,AF1,2,1,1.197515545444767,1.334394479653528,-0.13687893420876107,0.06686982602740003,-2.0469461690041584,254,0.04177018805506612,0.1375676913481472,,
AF0,AF1,2,2,1.017992762686579,1.300285639272293,-0.282292876585714,0.06826334955240208,-4.135350498278919,252,5.63029564259802e-05,0.0026527909729537292,**,AF1 > AF0
AF0,AF1,2,3,1.0363301741318582,1.0891762157963425,-0.052846041664484256,0.054423414412920396,-0.9710166521992111,255,0.3326051774441213,0.4677260307807956,,
AF0,AF1,2,4,0.9851301825422181,1.072421214898333,-0.0872910323561149,0.0614664475347677,-1.4201411641162418,255,0.15722207549106354,0.27880288896816163,,
AF0,AF1,2,5,1.0279779979126802,1.0288266035513798,-0.0008486056386995955,0.057470397368375996,-0.014765960869561594,254,0.9882313932969204,0.9937522390695289,,
AF0,AF1,2,6,0.9427591867117111,1.159100435088488,-0.21634124837677682,0.05744784826754332,-3.7658720892250463,255,0.00022223167181659463,0.005714528703855291,**,AF1 > AF0
AF0,AF1,2,7,0.9604359943623774,1.0552029805176866,-0.09476698615530921,0.05519529468158111,-1.7169395815714945,253,0.08756037005054243,0.2020623924243287,,
AF0,AF1,2,8,0.92792425945244,1.0647832929990098,-0.1368590335465698,0.05297412051637344,-2.58350742235105,255,0.010495696553465283,0.06884410295442822,†,AF1 > AF0
AF0,AF1,2,9,0.8718348218346178,1.0353033394830873,-0.16346851764846948,0.04268392034852839,-3.82974469808993,254,0.00016852346075575564,0.0050557038226726695,**,AF1 > AF0
AF0,AF1,2,10,0.962535241258688,0.995197078930711,-0.03266183767202302,0.04989093310017861,-0.6546647986406591,255,0.5132907134272109,0.6242724893033647,,
AF0,AF1,2,11,0.8821613580465538,0.9431817728037984,-0.06102041475724462,0.04321570755097669,-1.4119961980320634,255,0.15953720868733692,0.27880288896816163,,
AF0,AF1,2,12,0.9237043426653139,0.9604268842192476,-0.03672254155393373,0.04875362164625843,-0.7532269463052694,255,0.45205369961712183,0.5650671245214023,,
AF0,AF1,2,13,0.884250679562395,0.9795323342256077,-0.0952816546632127,0.04031299118500386,-2.3635471311455745,254,0.0190321651383994,0.09861790187046984,†,AF1 > AF0
AF0,AF1,2,14,0.8674077307525193,0.9855601298415358,-0.11815239908901654,0.04572324901772723,-2.5840770642350464,255,0.010466378503472954,0.06884410295442822,†,AF1 > AF0
AF0,AF1,2,15,0.9227697258752732,0.90516964825088,0.017600077624393196,0.04535577044217544,0.38804494891850033,255,0.6983078647939367,0.780716867471482,,
AF0,AF2,1,0,1.4364080823902232,1.661512880004362,-0.2251047976141387,0.098113684741696,-2.2943262013527717,175,0.026330443933414056,0.11022046297708209,,
AF0,AF2,1,1,1.4189947367140874,1.7228368676527586,-0.3038421309386712,0.1065369663313714,-2.851987825461483,171,0.0064004739684473495,0.052367514287296496,†,AF2 > AF0
AF0,AF2,1,2,1.4166016902152596,1.442338045732965,-0.025736355517705478,0.1005824930405292,-0.2558731121064493,176,0.7990506635901332,0.8510598783800235,,
AF0,AF2,1,3,1.2684223880186034,1.4820320628935015,-0.21360967487489813,0.10585385762912591,-2.017967787468928,175,0.049252980293005434,0.14101450420755704,,
AF0,AF2,1,4,1.0911130521088903,1.2876679399729256,-0.1965548878640353,0.09513616721201938,-2.06603748736267,175,0.04461853960006288,0.1375676913481472,,
AF0,AF2,1,5,1.065844133576821,1.2580269457017494,-0.1921828121249285,0.0868270541375841,-2.2133978174636693,176,0.03072280150580698,0.1128592708376583,,
AF0,AF2,1,6,1.080280102097092,1.2307420799824351,-0.1504619778853431,0.09042986805713703,-1.6638526752054477,176,0.10269262799775523,0.21944516858265262,,
AF0,AF2,1,7,1.0118706454474395,1.0667951085618175,-0.05492446311437793,0.06806409495333227,-0.8069520817405498,176,0.4230440419346547,0.545338723858694,,
AF0,AF2,1,8,1.0228119874069335,1.1846812942471192,-0.16186930684018574,0.08443633031968163,-1.917057577316987,176,0.06156280989917391,0.16222811436287862,,
AF0,AF2,1,9,1.0789196636346325,1.149216165703774,-0.07029650206914151,0.08723758441950817,-0.8058052333395619,176,0.4241523407789842,0.545338723858694,,
AF0,AF2,1,10,0.9632898937278143,1.0915569657170832,-0.1282670719892689,0.06566877708780587,-1.9532428907235886,176,0.05623562135955516,0.15336987643515046,,
AF0,AF2,1,11,1.0003163957866192,1.0948856685683819,-0.09456927278176264,0.09077956129644538,-1.0417463075520024,176,0.30288598582862125,0.4432477841394457,,
AF0,AF2,1,12,1.0128113161016687,1.0397589058930823,-0.02694758979141354,0.07520390994977318,-0.3583269780708366,175,0.7213765236629875,0.791754721093523,,
AF0,AF2,1,13,0.9291633307461923,1.0397824743187616,-0.1106191435725693,0.07165320310830822,-1.543812959838818,176,0.130274717128493,0.2541593502776487,,
AF0,AF2,2,0,1.5480811370633496,1.5502616228439106,-0.002180485780560959,0.09930878141691701,-0.021956626085329438,176,0.9825576659166013,0.9935976396909452,,
AF0,AF2,2,1,1.197515545444767,1.3343885599799965,-0.1368730145352295,0.10204124322501826,-1.3413499307667318,176,0.18584774179557664,0.3097462363259611,,
AF0,AF2,2,2,1.017992762686579,1.4289256323325736,-0.4109328696459946,0.09329302961717635,-4.404754260122527,174,7.368863813760358e-05,0.0026527909729537292,**,AF2 > AF0
AF0,AF2,2,3,1.0363301741318582,1.419618128585015,-0.38328795445315667,0.11001707015729117,-3.483895307384305,176,0.0011947349016559609,0.026881535287259117,*,AF2 > AF0
AF0,AF2,2,4,0.9851301825422181,1.1888517343011895,-0.20372155175897144,0.08991912551781578,-2.2656086854248585,176,0.028463077482198056,0.11137725971294893,,
