Category1,Category2,Block,Trial,mean1,mean2,mean_diff,se_diff,t_value,df,p_value,p_fdr,Significance,Direction
AF0,AF1,1,0,0.4154929577464789,0.4690265486725664,-0.053533590926087504,0.06281702256311264,-0.85221471412947,253,0.39494856157573166,0.5779735047449731,,
AF0,AF1,1,1,0.7482014388489209,0.4864864864864865,0.26171495236243436,0.060301375384604124,4.340115804875229,248,2.1756365576316997e-05,0.0005594494005338657,***,AF0 > AF1
AF0,AF1,1,2,0.6223776223776224,0.7079646017699115,-0.0855869793922891,0.05916996884579608,-1.4464597677132274,254,0.14931838672044673,0.34366078438749725,,
AF0,AF1,1,3,0.8169014084507042,0.868421052631579,-0.051519644180874735,0.045519312912263625,-1.131819460460145,254,0.25878578185357226,0.48285442074448703,,
AF0,AF1,1,4,0.9647887323943662,0.9734513274336283,-0.008662595039262033,0.021718212036820658,-0.39886317642426683,253,0.6903334140084385,0.8088783638989332,,
AF0,AF1,1,5,0.958041958041958,0.9473684210526315,0.010673536989326493,0.026913446768820754,0.396587515564591,255,0.6920403780024206,0.8088783638989332,,
AF0,AF1,1,6,0.972027972027972,0.9824561403508771,-0.010428168322905162,0.018547442618696616,-0.5622429214253573,255,0.5744444159663351,0.7180555199579188,,
AF0,AF1,1,7,0.9790209790209791,0.9912280701754386,-0.012207091154459504,0.01488579542270506,-0.8200496384519854,255,0.41298217556569783,0.599067975901832,,
AF0,AF1,1,8,0.965034965034965,0.9649122807017544,0.00012268433321060979,0.02317841199291618,0.005293043080263857,255,0.9957811407906312,1.0,,
AF0,AF1,1,9,0.951048951048951,0.9649122807017544,-0.013863329652803347,0.025049285163060986,-0.5534421266937769,255,0.5804479319868183,0.7205560535008779,,
AF0,AF1,1,10,0.993006993006993,1.0,-0.006993006993006978,0.006993006993006992,-0.999999999999998,255,0.31901152350092055,0.4990380161941621,,
AF0,AF1,1,11,0.9790209790209791,0.9911504424778761,-0.012129463456897027,0.014931671736847708,-0.8123312426541285,254,0.41738706436535955,0.599067975901832,,
AF0,AF1,1,12,0.986013986013986,0.9824561403508771,0.003557845663108905,0.015800226176880587,0.22517688185469537,255,0.8220426006825522,0.8967737461991478,,
AF0,AF1,1,13,1.0,0.9912280701754386,0.00877192982456143,0.008771929824561406,1.0000000000000027,255,0.3194470972723914,0.4990380161941621,,
AF0,AF1,2,0,0.8881118881118881,0.7699115044247787,0.11820038368710939,0.04776462538650792,2.474642745141208,254,0.014161347906086825,0.09440898604057883,†,AF0 > AF1
AF0,AF1,2,1,0.8951048951048951,0.504424778761062,0.39068011634383315,0.053788290300205585,7.263293072959784,254,1.1741371160087317e-11,7.04482269605239e-10,***,AF0 > AF1
AF0,AF1,2,2,0.971830985915493,0.875,0.096830985915493,0.034344038633382055,2.8194408627695364,252,0.005442124485711968,0.04897912037140771,*,AF0 > AF1
AF0,AF1,2,3,0.9300699300699301,0.956140350877193,-0.02607042080726285,0.028794826263954625,-0.9053855914351466,255,0.3661158520849481,0.5401709293056611,,
AF0,AF1,2,4,0.9790209790209791,0.9298245614035088,0.04919641761747029,0.026871569943530488,1.8307980412329672,255,0.0688992656580946,0.24567585096663663,,
AF0,AF1,2,5,0.986013986013986,0.9911504424778761,-0.005136456463890049,0.013245006580399397,-0.3878032398633328,254,0.6984864780031037,0.811145587358443,,
AF0,AF1,2,6,0.951048951048951,0.8947368421052632,0.05631210894368788,0.034078253243107,1.6524353094617052,255,0.10005232873799032,0.27286998746724633,,
AF0,AF1,2,7,0.9859154929577465,0.9823008849557522,0.0036146080019943128,0.01592840476038613,0.22692843736516707,253,0.8206838802320585,0.8967737461991478,,
AF0,AF1,2,8,0.986013986013986,0.9210526315789473,0.0649613544350387,0.027214119259817333,2.387045996779935,255,0.01825593195107714,0.10953559170646285,,
AF0,AF1,2,9,0.9929577464788732,0.956140350877193,0.03681739560168029,0.020511172676903746,1.7949922308994983,254,0.0747645359082194,0.24567585096663663,,
AF0,AF1,2,10,0.993006993006993,1.0,-0.006993006993006978,0.006993006993006993,-0.9999999999999979,255,0.31901152350092066,0.4990380161941621,,
AF0,AF1,2,11,0.993006993006993,0.9824561403508771,0.010550852656115883,0.014192736278370833,0.7433980628664936,255,0.4581983853048074,0.634546831681825,,
AF0,AF1,2,12,0.9790209790209791,0.9649122807017544,0.014108698319224677,0.021077377145228275,0.6693763755334594,255,0.5039921853594193,0.6526517508251473,,
AF0,AF1,2,13,0.9929577464788732,0.9824561403508771,0.01050160612799611,0.014217065481981896,0.7386620073815796,254,0.46105892932821646,0.634546831681825,,
AF0,AF1,2,14,1.0,0.9736842105263158,0.02631578947368418,0.01505837276229829,1.747585206521858,255,0.0832523343816321,0.24567585096663663,,
AF0,AF1,2,15,1.0,0.9912280701754386,0.00877192982456143,0.008771929824561406,1.0000000000000027,255,0.3194470972723914,0.4990380161941621,,
AF0,AF2,1,0,0.4154929577464789,0.6285714285714286,-0.21307847082494968,0.09267765551674588,-2.2991353162408026,175,0.025514223358327176,0.12412324877024032,,
AF0,AF2,1,1,0.7482014388489209,0.5588235294117647,0.18937790943715616,0.09400048689749144,2.014648175638439,171,0.0498353107939946,0.19085863708338358,,
AF0,AF2,1,2,0.6223776223776224,0.8285714285714286,-0.20619380619380623,0.07637255836247853,-2.6998415479964892,176,0.00886871679905742,0.07256222835592434,†,AF2 > AF0
AF0,AF2,1,3,0.8169014084507042,0.6857142857142857,0.13118712273641853,0.08601941850368139,1.5250873002681844,175,0.13408067723712289,0.3352016930928072,,
AF0,AF2,1,4,0.9647887323943662,0.9428571428571428,0.021931589537223406,0.04272664287381482,0.5133000877694575,175,0.6102594384739721,0.7472564552742516,,
AF0,AF2,1,5,0.958041958041958,0.9714285714285714,-0.0133866133866134,0.0331573215439973,-0.4037302400572482,176,0.6878477862470969,0.8088783638989332,,
AF0,AF2,1,6,0.972027972027972,0.9142857142857143,0.05774225774225772,0.049963966818280345,1.1556780099600004,176,0.2547006427425285,0.4825906915121593,,
AF0,AF2,1,7,0.9790209790209791,0.9714285714285714,0.007592407592407646,0.03099946262650116,0.244920619556707,176,0.8075894633859142,0.8918165853341383,,
AF0,AF2,1,8,0.965034965034965,1.0,-0.034965034965035,0.015415028631526006,-2.268243270954837,176,0.024822841727527717,0.12412324877024032,,
AF0,AF2,1,9,0.951048951048951,1.0,-0.04895104895104896,0.018106656576456992,-2.7034835914818798,176,0.007699806759339078,0.0659983436514778,†,AF2 > AF0
AF0,AF2,1,10,0.993006993006993,0.9142857142857143,0.07872127872127876,0.048516225281773094,1.6225763291369104,176,0.11354010200502972,0.2968807031893402,,
AF0,AF2,1,11,0.9790209790209791,0.9714285714285714,0.007592407592407646,0.03099946262650116,0.244920619556707,176,0.8075894633859142,0.8918165853341383,,
AF0,AF2,1,12,0.986013986013986,0.9411764705882353,0.04483751542575076,0.04212827968405891,1.0643091947264347,175,0.29410352758226577,0.4990380161941621,,
AF0,AF2,1,13,1.0,1.0,0.0,0.0,,176,,,,
AF0,AF2,2,0,0.8881118881118881,0.5428571428571428,0.3452547452547453,0.08943546500672742,3.8603784888777057,176,0.00039632725675950854,0.00792654513519017,**,AF0 > AF2
AF0,AF2,2,1,0.8951048951048951,0.45714285714285713,0.437962037962038,0.08921957012691221,4.90881134418211,176,1.5532447732112202e-05,0.00046597343196336607,***,AF0 > AF2
AF0,AF2,2,2,0.971830985915493,0.8529411764705882,0.11888980944490479,0.06320710612096196,1.880956378818872,174,0.06798836658038206,0.24567585096663663,,
AF0,AF2,2,3,0.9300699300699301,0.9142857142857143,0.01578421578421585,0.052563762407507555,0.3002870240118395,176,0.7652443309317302,0.8608998722981965,,
AF0,AF2,2,4,0.9790209790209791,0.8571428571428571,0.12187812187812197,0.06120523448815541,1.9913022619283995,176,0.0539160470816536,0.20218517655620102,,
AF0,AF2,2,5,0.986013986013986,0.8285714285714286,0.15744255744255742,0.06538185221760558,2.4080467607212013,176,0.021348317391918174,0.12008428532953973,,
AF0,AF2,2,6,0.951048951048951,0.9428571428571428,0.008191808191808203,0.043731966179434124,0.18731854310407323,176,0.8521840389865971,0.9240549820336594,,
AF0,AF2,2,7,0.9859154929577465,0.8823529411764706,0.10356255178127594,0.05695723397258535,1.818251072921179,174,0.07757055226754908,0.24567585096663663,,
AF0,AF2,2,8,0.986013986013986,1.0,-0.013986013986013957,0.009854721253157988,-1.4192196437349334,176,0.15802636678679943,0.34366078438749725,,
AF0,AF2,2,9,0.9929577464788732,0.9142857142857143,0.07867203219315899,0.048523348023846585,1.6213232474085661,175,0.11380426955591375,0.2968807031893402,,
AF0,AF2,2,10,0.993006993006993,0.9428571428571428,0.050149850149850184,0.04041702611951629,1.2408099992699408,176,0.2226743844595382,0.43098267959910613,,
AF0,AF2,2,11,0.993006993006993,1.0,-0.006993006993006978,0.00699300699300699,-0.9999999999999981,176,0.31901152350092055,0.4990380161941621,,
AF0,AF2,2,12,0.9790209790209791,1.0,-0.020979020979020935,0.01202664344360458,-1.7443787268988147,176,0.08325681616091575,0.24567585096663663,,
AF0,AF2,2,13,0.9929577464788732,0.9714285714285714,0.02152917505030183,0.029426516363104678,0.7316250005486674,175,0.4688596034093485,0.634546831681825,,
AF0,AF2,2,14,1.0,1.0,0.0,0.0,,176,,,,
AF0,AF2,2,15,1.0,1.0,0.0,0.0,,176,,,,
AF0,AF3,1,0,0.4154929577464789,0.6756756756756757,-0.2601827179291968,0.0883717680185904,-2.9441836885560924,177,0.004650120529140238,0.04405377343396015,*,AF3 > AF0
AF0,AF3,1,1,0.7482014388489209,0.6486486486486487,0.09955279020027219,0.08772595805488001,1.1348156510071226,174,0.2616011466715164,0.48285442074448703,,
AF0,AF3,1,2,0.6223776223776224,0.868421052631579,-0.24604343025395659,0.06887209105383839,-3.5724692903780233,179,0.0005981050544629607,0.009787173618484812,**,AF3 > AF0
AF0,AF3,1,3,0.8169014084507042,0.7631578947368421,0.0537435137138621,0.07710955797012321,0.6969760316183568,178,0.4887996269222159,0.642218487926999,,
AF0,AF3,1,4,0.9647887323943662,0.9736842105263158,-0.008895478131949575,0.03055246198505716,-0.2911542165178127,178,0.7718582599037622,0.8629471228737714,,
AF0,AF3,1,5,0.958041958041958,1.0,-0.04195804195804198,0.016825024260302943,-2.493787902406656,179,0.013786110274826586,0.09440898604057883,†,AF3 > AF0
AF0,AF3,1,6,0.972027972027972,0.9736842105263158,-0.0016562384983438427,0.029732083463053408,-0.05570543014255858,179,0.9557643348082899,1.0,,
AF0,AF3,1,7,0.9790209790209791,1.0,-0.020979020979020935,0.01202664344360458,-1.7443787268988147,179,0.08325681616091575,0.24567585096663663,,
AF0,AF3,1,8,0.965034965034965,1.0,-0.034965034965035,0.015415028631526006,-2.268243270954837,179,0.024822841727527717,0.12412324877024032,,
AF0,AF3,1,9,0.951048951048951,0.9473684210526315,0.003680529996319515,0.040932371152734306,0.08991734152380405,179,0.9286718911445997,0.994625307005152,,
AF0,AF3,1,10,0.993006993006993,1.0,-0.006993006993006978,0.006993006993006992,-0.999999999999998,179,0.31901152350092055,0.4990380161941621,,
AF0,AF3,1,11,0.9790209790209791,1.0,-0.020979020979020935,0.01202664344360458,-1.7443787268988147,179,0.08325681616091575,0.24567585096663663,,
AF0,AF3,1,12,0.986013986013986,1.0,-0.013986013986013957,0.009854721253157986,-1.4192196437349336,179,0.15802636678679938,0.34366078438749725,,
AF0,AF3,1,13,1.0,1.0,0.0,0.0,,179,,,,
AF0,AF3,2,0,0.8881118881118881,0.10810810810810811,0.78000378000378,0.058121741739626254,13.420172153443724,178,3.4742630845021555e-19,6.253673552103879e-17,***,AF0 > AF3
AF0,AF3,2,1,0.8951048951048951,0.2972972972972973,0.5978075978075978,0.08040094852362666,7.435330164443593,178,2.4648703613737687e-09,1.1091916626181959e-07,***,AF0 > AF3
AF0,AF3,2,2,0.971830985915493,0.5405405405405406,0.4312904453749524,0.08421961358178598,5.121021422831924,177,9.064626496200265e-06,0.0003263265538632096,***,AF0 > AF3
AF0,AF3,2,3,0.9300699300699301,0.8157894736842105,0.1142804563857196,0.06722773173912135,1.6999005236289595,179,0.09595247485401952,0.2698663355269299,,
AF0,AF3,2,4,0.9790209790209791,0.7297297297297297,0.24929124929124935,0.07498727610012895,3.3244473230148537,178,0.001973061022985865,0.02219693650859098,*,AF0 > AF3
AF0,AF3,2,5,0.986013986013986,0.7368421052631579,0.2491718807508282,0.07306034007894316,3.410494400677481,179,0.001539066843354146,0.019788002271696165,*,AF0 > AF3
AF0,AF3,2,6,0.951048951048951,0.9473684210526315,0.003680529996319515,0.0409323711527343,0.08991734152380407,179,0.9286718911445997,0.994625307005152,,
AF0,AF3,2,7,0.9859154929577465,0.7297297297297297,0.2561857632280168,0.07467887681368551,3.4304983438244308,177,0.0014863403192892065,0.019788002271696165,*,AF0 > AF3
AF0,AF3,2,8,0.986013986013986,0.9473684210526315,0.03864556496135452,0.038009518897045846,1.0167338625366846,179,0.3150377743837522,0.4990380161941621,,
AF0,AF3,2,9,0.9929577464788732,0.9736842105263158,0.01927353595255743,0.027241771423295723,0.7074993638657332,178,0.4831242169303823,0.6394291106431531,,
AF0,AF3,2,10,0.993006993006993,0.8421052631578947,0.15090172984909833,0.06035332193804599,2.5003052856643464,179,0.0168395814351909,0.10825445208337008,,
AF0,AF3,2,11,0.993006993006993,0.9210526315789473,0.07195436142804568,0.04487943635293077,1.6032813082187212,179,0.11697120007676182,0.30078308591167324,,
AF0,AF3,2,12,0.9790209790209791,0.9210526315789473,0.05796834744203172,0.04593366753343473,1.2620012847839124,179,0.21381638639675404,0.422933511554019,,
AF0,AF3,2,13,0.9929577464788732,0.9736842105263158,0.01927353595255743,0.027241771423295723,0.7074993638657332,178,0.4831242169303823,0.6394291106431531,,
AF0,AF3,2,14,1.0,0.8947368421052632,0.10526315789473684,0.050452767712569555,2.0863703354080236,179,0.0438940794168621,0.1761143541941074,,
