subj,run,set,block,cond,rules,af,mean_accu,median_rt,block1_correct,block2_correct,members,F1Ans,F2Ans,F3Ans,LatentF,ExpectedB1F,B1_t0,B1_t1,B1_t2,B1_t3,B1_t4,B1_t5,B1_t6,B1_t7,B1_t8,B1_t9,B1_t10,B1_t11,B1_t12,B1_t13,B2_t0,B2_t1,B2_t2,B2_t3,B2_t4,B2_t5,B2_t6,B2_t7,B2_t8,B2_t9,B2_t10,B2_t11,B2_t12,B2_t13,B2_t14,B2_t15,group_n
sub-CGAY215,1,1,1,Expand,4R,2,1.0,1.0374644000112312,0.0,0.0,"[sub-CGAY215, 1, 1, 1, Expand, 4R, 2, 1.000000, 1.037464, 0.0, 0.0]",1,1,1,0_1_1,0_0_1,B1_t0_1,B1_t1_1,B1_t2_1,B1_t3_1,B1_t4_1,B1_t5_1,B1_t6_1,B1_t7_1,B1_t8_1,B1_t9_1,B1_t10_1,B1_t11_1,B1_t12_1,B1_t13_1,,,,,,,,,,,,,,,,,22
sub-CGAY215,1,1,2,Expand,4R,2,0.875,1.1797618500131648,0.0,0.0,"[sub-CGAY215, 1, 1, 2, Expand, 4R, 2, 0.875000, 1.179762, 0.0, 0.0]",0,1,0,0_1_1,0_0_1,,,,,,,,,,,,,,,B2_t0_1,B2_t1_0,B2_t2_1,B2_t3_1,B2_t4_0,B2_t5_1,B2_t6_1,B2_t7_1,B2_t8_1,B2_t9_1,B2_t10_1,B2_t11_1,B2_t12_1,B2_t13_1,B2_t14_1,B2_t15_1,22
sub-CGAY216,4,7,1,Expand,2R,1,0.9285714285714286,1.128618649992859,0.0,0.0,"[sub-CGAY216, 4, 7, 1, Expand, 2R, 1, 0.928571, 1.128619, 0.0, 0.0]",1,0,1,1_1_0,0_1_0,B1_t0_1,B1_t1_1,B1_t2_0,B1_t3_1,B1_t4_1,B1_t5_1,B1_t6_1,B1_t7_1,B1_t8_1,B1_t9_1,B1_t10_1,B1_t11_1,B1_t12_1,B1_t13_1,,,,,,,,,,,,,,,,,22
sub-CGAY216,4,7,2,Expand,2R,1,0.9375,1.0109355000167852,0.0,0.0,"[sub-CGAY216, 4, 7, 2, Expand, 2R, 1, 0.937500, 1.010936, 0.0, 0.0]",1,0,0,1_1_0,0_1_0,,,,,,,,,,,,,,,B2_t0_1,B2_t1_1,B2_t2_0,B2_t3_1,B2_t4_1,B2_t5_1,B2_t6_1,B2_t7_1,B2_t8_1,B2_t9_1,B2_t10_1,B2_t11_1,B2_t12_1,B2_t13_1,B2_t14_1,B2_t15_1,22
sub-CGAY216,5,8,1,Preserve,2R,0,0.7142857142857143,0.9579971999919508,0.0,0.0,"[sub-CGAY216, 5, 8, 1, Preserve, 2R, 0, 0.714286, 0.957997, 0.0, 0.0]",0,1,1,0_1_0,0_1_0,B1_t0_0,B1_t1_0,B1_t2_0,B1_t3_1,B1_t4_0,B1_t5_1,B1_t6_1,B1_t7_1,B1_t8_1,B1_t9_1,B1_t10_1,B1_t11_1,B1_t12_1,B1_t13_1,,,,,,,,,,,,,,,,,22
sub-CGAY216,5,8,2,Preserve,2R,0,0.875,0.8848196000180906,0.0,0.0,"[sub-CGAY216, 5, 8, 2, Preserve, 2R, 0, 0.875000, 0.884820, 0.0, 0.0]",0,1,1,0_1_0,0_1_0,,,,,,,,,,,,,,,B2_t0_1,B2_t1_0,B2_t2_1,B2_t3_1,B2_t4_1,B2_t5_1,B2_t6_0,B2_t7_1,B2_t8_1,B2_t9_1,B2_t10_1,B2_t11_1,B2_t12_1,B2_t13_1,B2_t14_1,B2_t15_1,22
sub-CGAY216,5,9,1,Destroy,4R,1,1.0,0.7760486500046682,0.0,0.0,"[sub-CGAY216, 5, 9, 1, Destroy, 4R, 1, 1.000000, 0.776049, 0.0, 0.0]",1,1,1,1_0_1,0_1_0,B1_t0_1,B1_t1_1,B1_t2_1,B1_t3_1,B1_t4_1,B1_t5_1,B1_t6_1,B1_t7_1,B1_t8_1,B1_t9_1,B1_t10_1,B1_t11_1,B1_t12_1,B1_t13_1,,,,,,,,,,,,,,,,,22
sub-CGAY216,5,9,2,Destroy,4R,1,0.9375,0.9663448999926914,0.0,0.0,"[sub-CGAY216, 5, 9, 2, Destroy, 4R, 1, 0.937500, 0.966345, 0.0, 0.0]",1,1,0,1_0_1,0_1_0,,,,,,,,,,,,,,,B2_t0_1,B2_t1_0,B2_t2_1,B2_t3_1,B2_t4_1,B2_t5_1,B2_t6_1,B2_t7_1,B2_t8_1,B2_t9_1,B2_t10_1,B2_t11_1,B2_t12_1,B2_t13_1,B2_t14_1,B2_t15_1,22
sub-CGAY224,5,9,1,Expand,2R,1,0.9285714285714286,0.8576521499780938,0.0,0.0,"[sub-CGAY224, 5, 9, 1, Expand, 2R, 1, 0.928571, 0.857652, 0.0, 0.0]",1,1,1,1_1_0,0_1_0,B1_t0_1,B1_t1_1,B1_t2_0,B1_t3_1,B1_t4_1,B1_t5_1,B1_t6_1,B1_t7_1,B1_t8_1,B1_t9_1,B1_t10_1,B1_t11_1,B1_t12_1,B1_t13_1,,,,,,,,,,,,,,,,,22
sub-CGAY224,5,9,2,Expand,2R,1,1.0,0.9306123499991372,0.0,0.0,"[sub-CGAY224, 5, 9, 2, Expand, 2R, 1, 1.000000, 0.930612, 0.0, 0.0]",1,0,1,1_1_0,0_1_0,,,,,,,,,,,,,,,B2_t0_1,B2_t1_1,B2_t2_1,B2_t3_1,B2_t4_1,B2_t5_1,B2_t6_1,B2_t7_1,B2_t8_1,B2_t9_1,B2_t10_1,B2_t11_1,B2_t12_1,B2_t13_1,B2_t14_1,B2_t15_1,22
