Category1,Category2,Block,Trial,mean1,mean2,mean_diff,se_diff,t_value,df,p_value,p_fdr,Significance,Direction
1R,2R,1,0,0.46464646464646464,0.3469387755102041,0.11770768913626056,0.06981449074822961,1.6860065564432332,195,0.09339600082642227,0.22120105458889486,,
1R,2R,1,1,0.6105263157894737,0.6767676767676768,-0.0662413609782031,0.06900573676419873,-0.9599399134677477,192,0.3383011160152074,0.5249500076098046,,
1R,2R,1,2,0.6161616161616161,0.5959595959595959,0.02020202020202022,0.06978818060227272,0.2894762412155838,196,0.7725229622760573,0.8799239997613783,,
1R,2R,1,3,0.7272727272727273,0.9696969696969697,-0.24242424242424243,0.04820575205913439,-5.028948456749697,196,1.6500898449305539e-06,2.475134767395831e-05,***,2R > 1R
1R,2R,1,4,0.9494949494949495,0.9795918367346939,-0.030096887239744352,0.026370991369250467,-1.1412876678894377,195,0.2553758418068227,0.47882970338779257,,
1R,2R,1,5,0.9393939393939394,0.9797979797979798,-0.04040404040404033,0.02798083611784317,-1.4439897447623082,196,0.15071194453256795,0.33875805172612133,,
1R,2R,1,6,0.9393939393939394,0.9797979797979798,-0.04040404040404033,0.02798083611784317,-1.4439897447623082,196,0.15071194453256795,0.33875805172612133,,
1R,2R,1,7,0.98989898989899,0.9696969696969697,0.02020202020202022,0.020046816723592792,1.0077420510481734,196,0.31512133553164556,0.5094367417920102,,
1R,2R,1,8,0.9595959595959596,0.98989898989899,-0.030303030303030387,0.022308260943348212,-1.3583770774416204,196,0.17644798336180412,0.36091632960369024,,
1R,2R,1,9,0.9191919191919192,0.9797979797979798,-0.06060606060606055,0.030982554911376463,-1.956135017897012,196,0.05234792583263038,0.15704377749789114,,
1R,2R,1,10,1.0,0.98989898989899,0.010101010101010055,0.010101010101010102,0.9999999999999956,196,0.3197732875085905,0.5094367417920102,,
1R,2R,1,11,0.9797979797979798,0.98989898989899,-0.010101010101010166,0.017435852775749744,-0.5793241220216614,196,0.5631075668392906,0.7239954430790879,,
1R,2R,1,12,0.9797979797979798,0.98989898989899,-0.010101010101010166,0.017435852775749744,-0.5793241220216614,196,0.5631075668392906,0.7239954430790879,,
1R,2R,1,13,1.0,0.98989898989899,0.010101010101010055,0.010101010101010104,0.9999999999999953,196,0.31977328750859063,0.5094367417920102,,
1R,2R,2,0,0.898989898989899,0.8686868686868687,0.030303030303030276,0.045722884611125135,0.6627541232526929,196,0.5082766882111412,0.6931045748333745,,
1R,2R,2,1,0.9191919191919192,0.5757575757575758,0.3434343434343434,0.0570122547334442,6.02386881627539,196,1.2239654838260217e-08,2.7539223386085486e-07,***,1R > 2R
1R,2R,2,2,0.8854166666666666,0.9696969696969697,-0.0842803030303031,0.03698352639614644,-2.2788606507540843,193,0.02413797148469581,0.08920078838331287,†,2R > 1R
1R,2R,2,3,0.9090909090909091,0.9292929292929293,-0.02020202020202022,0.03890755775674679,-0.5192312590865993,196,0.6041929247917409,0.7658783553698124,,
1R,2R,2,4,0.9696969696969697,0.9696969696969697,0.0,0.024488546534599052,0.0,196,1.0,1.0,,
1R,2R,2,5,0.9696969696969697,0.98989898989899,-0.02020202020202022,0.020046816723592792,-1.0077420510481734,196,0.31512133553164556,0.5094367417920102,,
1R,2R,2,6,0.9797979797979798,0.8585858585858586,0.12121212121212122,0.03795944137941098,3.1932008693327636,196,0.0017677871267659634,0.010606722760595782,*,1R > 2R
1R,2R,2,7,0.9696969696969697,0.9896907216494846,-0.01999375195251485,0.020152560030850135,-0.9921197069706194,194,0.3226432698016064,0.5094367417920102,,
1R,2R,2,8,0.98989898989899,0.898989898989899,0.09090909090909094,0.03207230991470833,2.8345040051948405,196,0.005391677968803808,0.028544177481902515,*,1R > 2R
1R,2R,2,9,0.9797979797979798,0.9591836734693877,0.02061430632859207,0.024608747511030316,0.8376820607937147,195,0.40335189466036214,0.6152825511768236,,
1R,2R,2,10,0.98989898989899,1.0,-0.010101010101010055,0.010101010101010104,-0.9999999999999953,196,0.31977328750859063,0.5094367417920102,,
